frame_number,track_id,vehicle_class,x1,y1,x2,y2,centroid_x,centroid_y,confidence
0,1,car,175.44,845.97,429.03,1076.67,302.23,961.32,0.9492
0,2,bus,651.29,449.47,850.58,729.92,750.94,589.69,0.9466
0,3,car,294.76,555.48,442.7,674.27,368.73,614.87,0.9036
0,4,car,550.53,408.73,645.55,492.71,598.04,450.72,0.8651
0,5,car,575.55,739.28,738.32,938.37,656.94,838.82,0.8593
0,6,car,1397.92,623.32,1509.86,742.37,1453.89,682.85,0.8579
0,7,car,691.03,350.05,770.53,430.3,730.78,390.18,0.846
0,8,car,625.09,310.96,694.65,371.63,659.87,341.3,0.82
0,9,car,605.23,492.32,701.93,597.04,653.58,544.68,0.8153
0,10,car,734.99,272.89,783.26,325.4,759.13,299.14,0.7977
0,11,car,711.29,235.81,766.27,273.86,738.78,254.83,0.7933
0,12,car,792.95,263.93,841.61,310.42,817.28,287.18,0.7608
0,13,car,768.25,200.87,807.86,234.5,788.05,217.69,0.7036
0,14,car,0.32,843.94,170.78,1055.33,85.55,949.63,0.6841
0,15,truck,1326.0,453.0,1404.85,567.66,1365.42,510.33,0.6534
0,16,motorcycle,948.59,609.19,978.38,668.08,963.49,638.63,0.637
0,17,car,1321.16,601.54,1379.84,678.83,1350.5,640.19,0.6155
0,18,car,421.42,847.71,560.27,1019.21,490.85,933.46,0.5824
0,19,car,1305.23,550.23,1373.98,617.94,1339.61,584.09,0.5594
0,20,motorcycle,877.13,405.78,902.95,454.55,890.04,430.17,0.5203
0,21,car,1520.06,834.71,1630.85,945.51,1575.45,890.11,0.5117
0,22,car,955.66,286.15,989.86,335.97,972.76,311.06,0.5095
0,23,motorcycle,912.9,311.95,934.17,343.75,923.53,327.85,0.4603
0,24,truck,422.1,846.75,560.09,1035.18,491.1,940.96,0.4539
0,25,car,849.4,176.07,888.81,205.36,869.11,190.71,0.4456
0,26,car,834.18,222.64,862.99,259.77,848.59,241.2,0.4416
0,27,motorcycle,1214.6,520.2,1241.43,563.83,1228.01,542.01,0.4401
0,28,motorcycle,948.02,425.79,976.41,472.99,962.21,449.39,0.3863
0,29,car,1266.88,471.25,1314.32,516.9,1290.6,494.08,0.373
0,30,car,813.37,160.57,846.97,191.68,830.17,176.13,0.3535
0,31,car,1273.57,492.76,1325.26,560.53,1299.41,526.65,0.3533
0,32,motorcycle,921.99,233.37,938.69,267.92,930.34,250.65,0.3363
0,33,car,1248.52,444.57,1294.04,499.23,1271.28,471.9,0.3333
0,34,car,901.32,192.91,929.56,223.84,915.44,208.38,0.2823
1,1,car,176.61,858.24,416.39,1076.21,296.5,967.23,0.9416
1,2,bus,651.28,452.47,850.39,732.74,750.83,592.61,0.9403
1,3,car,289.94,559.2,438.19,678.22,364.07,618.71,0.9077
1,4,car,548.06,410.32,643.77,494.9,595.92,452.61,0.874
1,5,car,571.73,744.23,737.43,946.97,654.58,845.6,0.8107
1,6,car,1397.61,623.04,1509.49,742.02,1453.55,682.53,0.8547
1,7,car,688.43,350.49,769.53,432.37,728.98,391.43,0.8294
1,8,car,622.4,312.41,691.94,373.06,657.17,342.73,0.8242
1,9,car,602.03,493.95,699.69,599.7,650.86,546.83,0.8318
1,10,car,733.51,273.15,782.95,326.96,758.23,300.06,0.7767
1,11,car,710.39,236.06,765.52,274.24,737.96,255.15,0.7894
1,12,car,792.03,264.52,841.1,311.41,816.57,287.97,0.7858
1,13,car,767.47,201.19,807.48,235.19,787.47,218.19,0.716
1,14,car,0.0,852.35,170.12,1071.4,85.06,961.88,0.6274
1,15,truck,1325.93,452.79,1404.44,566.92,1365.19,509.85,0.6452
1,16,motorcycle,947.27,612.79,978.16,673.93,962.72,643.36,0.6957
1,17,car,1320.39,601.5,1380.47,680.69,1350.43,641.1,0.595
1,18,truck,406.35,857.25,561.48,1049.32,483.92,953.29,0.432
1,19,car,1305.08,550.2,1373.77,617.85,1339.42,584.02,0.5353
1,20,motorcycle,876.22,408.09,902.42,457.58,889.32,432.84,0.549
1,21,car,1521.91,834.93,1631.99,944.93,1576.95,889.93,0.47
1,22,car,955.47,287.21,989.37,336.59,972.42,311.9,0.5081
1,23,motorcycle,911.73,312.35,934.03,345.73,922.88,329.04,0.3771
1,24,car,414.13,857.75,553.34,1047.84,483.74,952.8,0.5766
1,25,car,851.4,176.16,890.75,205.47,871.07,190.82,0.4628
1,26,car,833.88,223.13,862.59,260.12,848.24,241.62,0.3549
1,27,motorcycle,1214.73,522.98,1241.9,567.19,1228.31,545.08,0.4624
1,28,motorcycle,947.83,429.68,974.96,474.69,961.4,452.18,0.3047
1,29,car,1266.66,471.09,1314.46,517.1,1290.56,494.1,0.3792
1,30,car,813.04,160.93,846.48,191.88,829.76,176.4,0.3731
1,31,car,1274.17,493.22,1325.4,560.35,1299.79,526.79,0.3358
1,32,motorcycle,921.51,234.24,938.3,268.98,929.91,251.61,0.432
1,33,car,1248.37,444.91,1294.01,499.7,1271.19,472.31,0.3305
1,34,car,900.31,191.82,929.76,224.12,915.04,207.97,0.277
2,1,car,174.0,869.16,402.49,1076.21,288.25,972.68,0.9428
2,2,bus,645.58,454.57,847.43,738.59,746.5,596.58,0.9312
2,3,car,284.41,562.18,433.81,682.12,359.11,622.15,0.898
2,4,car,544.42,412.51,641.71,498.47,593.06,455.49,0.8946
2,5,car,566.74,750.22,735.02,956.27,650.88,853.24,0.7664
2,6,car,1396.85,622.52,1509.18,741.92,1453.01,682.22,0.8515
2,7,car,686.78,352.07,768.1,434.2,727.44,393.13,0.8233
2,8,car,620.19,313.34,690.63,374.75,655.41,344.05,0.7741
